Gif,Admiration,Adoration,Aesthetic Appreciation,Amusement,Anger,Anxiety,Awe,Awkwardness,Boredom,Calmness,Confusion,Contempt,Craving,Disappointment,Disgust,Empathic Pain,Entrancement,Envy,Excitement,Fear,Guilt,Horror,Interest,Joy,Nostalgia,Pride,Relief,Romance,Sadness,Satisfaction,Sexual Desire,Surprise,Sympathy,Triumph
0001.mp3,0,0,8,0,7.75,7.75,4.6667,0,0,0,9.1667,0,0,12.9167,0,0,0,0,0,22.1667,6.8333,7.9167,19.25,0,0,0,0,0,13.75,0,0,6.9167,0,0
0002.mp3,0,0,0,15.9167,0,0,0,0,1.9167,0,10.6667,0,0,0,0,0,0,0,2.5,0,0,0,6.75,0,36.5,0,0,4.75,0,0,14,0,0,0
0003.mp3,1.4167,0,1.5833,51.5833,0,0,0,5.4167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3333,5.6667,19,0
0004.mp3,0,0,0,38,0,0,0,5.8333,0,0,23.9167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0005.mp3,0,0,0,0,0,19.4167,0,0,0,0,28.6667,0,0,0,0,6.6667,0,0,0,1.5,0,1.4167,8,0,0,0,0,0,20.25,0,0,24.4167,0,0
0006.mp3,0,2.5,0,35.3333,0,0,0,0,2.5833,0,1.6667,0,0,0,0,0,0,0,0,0,0,0,1,23.25,56.9167,0,0,0,0,0,0,0,0,0
0007.mp3,6.3333,0,31.0833,0,0,0,11.5,0,0,7.5833,12.0833,0,0,0,7.1667,0,7,0,0,0,0,0,26.25,0,0,0,0,0,0,0,0,0,0,0
0008.mp3,0,0,55,0,0,1.4167,7.6667,0,2.8333,13.5,0,0,0,1.5833,0.83333,0,6.0833,0,0,0,0,0,21,0,0,0,0,0,1.5,0,0,0,0,0
0009.mp3,0,7.5,0,0,0,0,0,0,3.25,0,0,0,0,0,0,7.6667,0,0,0,0,0,7.1667,0,7.8333,0,0,8.1667,0,51.75,7.3333,0,12.0833,24.0833,0
0010.mp3,1.0833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9167,0,0,0,9.6667,0,0,0,0,22.5,0,8.1667,70.9167,7.4167,0,0
0011.mp3,10.5,12.5,0,37.4167,0,0,7,0,0,0,0,0,0,0,0,0,4.0833,0,7.6667,0,0,0,1.0833,12.0833,0,0,0,0,0,13.4167,0,13.8333,0,0
0012.mp3,0,7.1667,0,19.25,0,0,2.0833,0,0,0,8.3333,0,0,0,0,0,0,1,22.5833,0,0,0,7.1667,12.3333,10.5833,14.9167,0,0,0,8,0,2.5,0,16.6667
0013.mp3,0,25.1667,0,33.5,0,0,16,0,0,0,1.6667,0,0,7.6667,0,12.6667,0,0,0,0,0,0,7.0833,3.25,0,0,0,0,2.6667,0,0,0,12.8333,0
0014.mp3,6.5833,5.6667,0,0,0,0,8.3333,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,28.6667,0,8.3333,18.75,0,20.8333,9.1667,0,0,30.5,9.6667
0015.mp3,0,0,0,7.5,0,30.0833,0,0,0,0,1.0833,0,0,0,0,5.75,0,0,0,41.3333,0,14.4167,7.6667,0,0,0,12.9167,0,0,0,0,15.1667,2,0
0016.mp3,0,0,43.5,0,0,6.1667,38.5,0,0,5,0,0,0,0,0,0,7.1667,0,0,9.9167,0,0,16.4167,0,0,0,0,0,0,0,0,0,0,0
0017.mp3,0,0,0,10.8333,0,0,0,0,4.5833,0,14.3333,0,0,1.8333,0,0,0,0,12.0833,0,0,0,1.3333,15.8333,0,7.9167,0,0,0,16.0833,0,0,0,16.0833
0018.mp3,0,0,0,2.5833,0,0,0,0,0,0,34.9167,0,0,0,25.75,0,0,0,6,6.3333,0,0,0,0,0,0,0,0,0,0,25.6667,6.75,0,0
0019.mp3,0,0,7.9167,0,0,0,0,0,9.8333,7,0,0,33.8333,0,0,0,7.9167,0,0,0,0,0,7,0,0,0,0,0,0,6.5,0,0,0,0
0020.mp3,0,0,41.4167,0,0,0,0,0,0,0,4.3333,0,0,0,0,0,26.6667,0,0,0,0,0,30.75,0,0,0,0,0,0,0,0,8.3333,0,0
0021.mp3,0,0,0,0,0,0,0,4.9167,4.1667,0,7.75,0,0,0,33.4167,28.1667,0,0,0,13.1667,0,26.6667,0,0,0,0,0,0,6.75,0,0,14.9167,0,0
0022.mp3,6.8333,0,1.25,6.4167,0,0,12.75,0,0,0,0,0,0,0,0,14.9167,6.4167,0,20.5833,6.0833,0,0,1.75,0,0,0,0,0,0,7.8333,0,3.4167,1,30.4167
0023.mp3,0,0,32.5,0,0,0,3.1667,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,18.75,0,0,0,0,0,0,1.9167,0,8.1667,0,0
0024.mp3,0,7.5833,0,3.1667,7.5833,0,0,0,0,0,10.8333,0,0,0,0,13.5,0,0,0,1.75,0,9.3333,0,6.3333,0,0,8.6667,0,18.9167,8.0833,0,14.25,1.25,5.25
0025.mp3,0,0,0,0,0,41,0,4.3333,0,0,0,0,0,0,0,0,11.3333,0,7.6667,55,0,0,0,0,0,0,2.8333,0,0,0,0,0,0,0
0026.mp3,0,5.3333,53.8333,0,0,0.58333,20.25,0,0,23.25,0,0,0,0,0,0,12.75,0,5.25,0,0,0,0,13.9167,0,0,8.3333,0,0,19.5,0,0,0,0
0027.mp3,0,0,0,34.5833,0,0,0,9.1667,0,0,0,0,0,0,0,17.6667,0,0,0,7.8333,3.8333,0,0,0,0,0,0,0,7.25,0,0,19,28.4167,0
0028.mp3,0,0,0,0,0,1,0,0,0,0,21.9167,0,0,0,62.25,12.5,0,0,0,11.75,0,12.8333,0,0,0,0,0,0,0,0,0,0,0,0
0029.mp3,0,0,35.9167,20.4167,0,0,36.5833,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,19.0833,7.9167,0,0,0,0,0,7.5833,0,13.5833,0,0
0030.mp3,0,0,0,0.75,0,15.4167,0,0,0,0,13.25,0,0,0,69.5,0,0,0,0,18.6667,0,14.5,0,0,0,0,0,0,0,0,7.4167,16.75,0,0
0031.mp3,0,0,0,8.2,5.2,18.3,0,0,6.3,0,9.5,5.9,0,0,5.2,0,0,0,0,0,0,10,9.6,0,0,0,8.5,0,0,0,0,20.9,0,0
0032.mp3,25.6,0,5.4,27.6,0,0,13.2,9.9,6.2,0,9,0,0,0,0,0,0,0,0,0,0,0,16.8,0,0,0,0,0,0,18.7,0,9.7,0,13.2
0033.mp3,0,0,8.9,0,0,0,0,0,27.4,0,4.1,0,0,0,0,0,0,0,0,0,0,0,23.9,0,0,0,0,0,0,0,0,0,0,0
0034.mp3,0,0,0,0,0,0,0,0,24.8,0,0,0,0,0,0,0,9.1,0,0,0,0,0,38.5,0,0,0,0,0,0,9.6,0,9,0,0
0035.mp3,0,47.1,12.5,8.5,0,0,23.2,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,6.8,41.1,0,0,0,0,0,0,0,0,0,0
0036.mp3,0,2.3,0,6,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,55.6,0,0,2.8,0,0,0
0037.mp3,0,12.6,0,40.2,0,0,0,0,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,9.5,0,0,0,0
0038.mp3,1.7,0,3,26.9,0,0,7.5,0,17,0,0,0,0,0,0,0,0,0,15.8,0,0,0,0,0,0,0,0,0,0,9.6,0,0,0,27.2
0039.mp3,9.3,0,0,0,0,0,27.5,0,14,0,0,0,0,0,0,0,1.2,0,0.9,0,0,0,24.6,7.4,11.6,8.1,0,0,0,19,0,9.3,0,0
0040.mp3,0,9.2,0,23.9,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,11.7,5.7,0,6.6,0,0,0,23.4,0,20.2,0,0
0041.mp3,5.4,0,6.4,12.1,0,0,24.4,0,9.5,0,0,0,0,0,0,0,0,0,18.1,0,0,0,0,0,6.2,0,0,0,0,18.7,0,7.6,0,28.8
0042.mp3,0,0,23.3,5.3,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7,0,0,0,0,0,0,0,0,10,0,0
0043.mp3,0,6.4,0,30,0,0,10,0,10,0,0,0,0,0,0,0,0,9.5,6.1,0,0,0,0,44.7,0,0,0,17.6,0,9.4,0,20.3,0,9.2
0044.mp3,0,2.2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,0,0,0,2.9,0,0,0,0,64.1,0,0,24,0,0,0
0045.mp3,0,0,0,5.7,19.8,35.7,0,0,0,0,4.6,10,0,0,19.3,0,0,0,9.7,22.1,0,0,0,0,0,0,12.4,0,0,9.3,0,0,0,0
0046.mp3,0,0,0,0,0,59,0,0,0,0,9.3,0,0,0,0,0,0,0,0,49.4,0,14.9,0,0,0,0,0,0,0,0,0,0,0,0
0047.mp3,10,7.7,0,62.9,0,0,10,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0
