Gif,Admiration,Adoration,Aesthetic Appreciation,Amusement,Anger,Anxiety,Awe,Awkwardness,Boredom,Calmness,Confusion,Craving,Disgust,Empathic Pain,Entrancement,Excitement,Fear,Horror,Interest,Joy,Nostalgia,Relief,Romance,Sadness,Satisfaction,Sexual Desire,Surprise
0001.mp4,-0.045923,-0.057067,0.004966,-0.20601,0.12761,0.024023,-0.027958,-0.02827,-0.047631,-0.034009,0.10631,-0.023336,-0.09158,-0.043972,-0.044286,-0.046028,0.24982,0.0234,0.3042,-0.081841,-0.032482,-0.032092,-0.032958,0.10269,-0.045118,-0.051701,0.16178
0002.mp4,-0.032566,-0.060207,-0.079653,0.043828,-0.020502,-0.068994,-0.10995,-0.027837,0.035285,-0.038681,0.18659,-0.024265,-0.088931,-0.031095,-0.046595,0.037276,-0.08001,-0.064926,0.051407,-0.082463,0.46612,-0.020456,0.050453,-0.05936,-0.038371,0.19577,-0.092704
0003.mp4,0.029873,-0.05318,0.010342,0.46773,-0.11574,-0.092624,-0.107,0.05536,-0.043314,-0.05416,-0.062495,-0.027451,-0.082793,0.076574,-0.058161,-0.068086,-0.057517,-0.092152,-0.11734,-0.086057,-0.036439,0.031056,-0.03135,0.086024,-0.020315,0.27814,0.066202
0004.mp4,-0.044818,-0.056332,-0.076606,0.54657,-0.0085099,-0.064433,-0.1068,0.059895,-0.041224,-0.034507,0.18901,-0.018532,-0.085806,-0.031777,-0.041512,-0.046893,-0.078526,-0.062245,-0.1115,-0.078742,-0.030126,-0.019927,-0.030414,-0.055605,-0.046431,-0.049238,-0.0061732
0005.mp4,-0.04716,-0.057833,-0.07953,-0.20699,0.0018466,0.27901,-0.10952,-0.029644,-0.044366,-0.028546,0.35405,-0.020623,-0.09186,0.018624,-0.038554,-0.042771,-0.0054741,0.031015,-0.026412,-0.079556,-0.029951,-0.033883,-0.029387,0.16224,-0.052866,-0.051053,0.24529
0006.mp4,-0.035613,0.022078,-0.079802,0.29252,-0.017994,-0.069562,-0.11093,-0.029588,0.033431,-0.040292,0.018631,-0.025756,-0.090198,-0.033274,-0.048688,-0.044226,-0.081795,-0.064754,-0.033537,0.16651,0.63147,-0.022913,-0.035975,-0.060754,-0.036783,-0.054717,-0.09295
0007.mp4,0.03404,-0.056239,0.34039,-0.19917,-0.019268,-0.061863,0.14819,-0.020978,-0.034051,0.05052,0.19149,-0.015469,0.001002,-0.025289,0.04751,-0.050509,-0.074541,-0.063514,0.225,-0.077118,-0.029355,-0.017732,-0.026658,-0.055226,-0.050425,-0.047408,-0.087073
0008.mp4,-0.034668,-0.059707,0.58736,-0.20681,0.016815,0.018467,-0.028269,-0.027767,0.03572,0.21278,-0.06269,-0.023863,-0.0081217,-0.036909,0.036384,-0.045729,-0.082227,-0.064104,0.13518,-0.083301,-0.033867,-0.028965,-0.030367,0.014814,-0.041579,-0.05428,-0.090851
0009.mp4,-0.034151,0.029882,-0.078965,-0.20847,-0.045092,-0.059164,-0.11455,-0.04046,0.034025,-0.032293,-0.064976,-0.029527,-0.098429,0.062779,-0.046481,-0.054921,-0.087544,0.023791,-0.10964,-0.0014666,-0.031772,0.071085,-0.029821,0.67755,0.037184,-0.056174,0.07318
0010.mp4,0.050005,-0.05593,-0.077393,-0.19763,-0.026216,-0.061715,-0.10102,-0.019069,-0.032879,-0.030618,-0.056729,-0.014056,-0.081148,-0.022008,-0.032998,0.1132,-0.071957,-0.064314,0.060379,-0.076449,-0.028078,-0.014361,0.2306,-0.049745,0.032197,0.86821,-0.0042665
0011.mp4,0.10753,0.11626,-0.071974,0.30979,-0.013485,-0.052487,0.074933,-0.011487,-0.016331,-0.024412,-0.051864,-0.0043124,-0.073748,-0.018299,0.061675,0.026716,-0.067393,-0.061235,-0.015638,0.096848,-0.022801,-0.013558,-0.019207,-0.045855,0.10016,-0.038576,0.086712
0012.mp4,0.068806,0.011438,-0.086713,0.11612,-0.019422,-0.078905,-0.037612,-0.043427,-0.074247,-0.050499,0.010804,-0.040587,-0.10025,-0.042632,-0.063836,0.21334,-0.090737,-0.06695,0.038766,0.073773,0.1217,-0.031379,-0.042772,-0.071263,0.0718,-0.0667,-0.017065
0013.mp4,-0.051342,0.27487,-0.078245,0.37588,-0.011124,-0.074702,0.13612,-0.030717,-0.050985,-0.044245,0.018701,-0.029213,-0.092345,0.16708,-0.05497,-0.051085,-0.077863,-0.07289,-0.034747,-0.0030552,-0.03621,-0.013168,-0.035974,0.082634,-0.032099,-0.056852,-0.095239
0014.mp4,0.12658,0.016585,-0.084184,-0.21097,-0.1072,-0.091798,-0.034668,-0.049183,-0.068962,-0.059802,-0.071969,-0.049041,-0.098591,0.13248,-0.069797,-0.059003,-0.075669,-0.08658,-0.12665,0.23617,-0.047682,0.25991,-0.047767,0.32427,0.16587,-0.069929,-0.10561
0015.mp4,-0.05106,-0.058642,-0.078008,-0.12283,-0.037626,0.34378,-0.11056,-0.028282,-0.047932,-0.041666,0.019163,-0.025591,-0.088908,0.070247,-0.050102,-0.0483,0.50539,0.097893,-0.033125,-0.083258,-0.034321,0.15315,-0.036236,-0.030846,-0.03576,-0.054049,0.072717
0016.mp4,-0.052315,-0.059884,0.50426,-0.20684,-0.020622,0.097484,0.3893,-0.027848,-0.048523,0.044477,-0.063752,-0.023257,-0.089471,-0.032246,0.035783,-0.045041,0.085955,-0.064656,0.13429,-0.082578,-0.033755,-0.021349,-0.030714,-0.059873,-0.038364,-0.05399,-0.092882
0017.mp4,0.053174,-0.069886,-0.085533,-0.046274,0.016371,-0.074063,-0.1172,-0.038233,0.01727,-0.047388,0.18136,-0.038088,-0.097408,-0.035672,-0.058547,0.12574,-0.086846,-0.068324,-0.040868,0.15912,-0.043001,-0.033842,-0.042932,-0.066117,0.14835,-0.064005,-0.096283
0018.mp4,-0.040854,-0.058998,-0.078296,-0.038938,-0.020335,-0.067229,-0.10917,-0.026351,-0.045725,-0.037267,0.35379,-0.021177,0.24508,-0.032308,-0.045197,0.037824,0.0032164,-0.063759,-0.11417,-0.081334,-0.032623,-0.021531,-0.029164,-0.050862,-0.041452,0.44757,-0.0082675
0019.mp4,-0.034735,-0.058108,0.0047734,-0.20434,-0.014192,-0.067238,-0.10839,-0.025142,0.1218,0.047149,-0.061525,0.39544,-0.087059,-0.029318,0.12309,-0.047805,-0.078057,-0.064326,-0.029549,-0.080587,-0.03171,-0.018313,-0.028994,-0.055999,0.041601,-0.052373,-0.091596
0020.mp4,-0.045152,-0.060346,0.50399,-0.20686,-0.027179,-0.070193,-0.11073,-0.028399,-0.048961,-0.039929,0.019264,-0.024636,-0.089541,-0.030492,0.36831,-0.045496,-0.080323,-0.065698,0.38371,-0.083089,-0.034439,-0.020533,-0.033237,-0.06351,-0.037054,-0.054502,-0.0098725
0021.mp4,-0.050609,-0.059971,-0.080272,-0.20748,0.025293,-0.055665,-0.10929,0.05531,0.037908,-0.029755,0.020441,-0.020355,0.32573,0.27029,-0.039012,-0.039567,0.16092,0.28107,-0.11136,-0.079521,-0.030869,-0.037712,-0.031,0.017457,-0.051059,-0.05115,0.078831
0022.mp4,0.16278,-0.087623,-0.011984,-0.13625,-0.030021,-0.085251,0.046868,-0.059929,-0.08712,-0.063146,-0.078814,-0.056268,-0.10531,0.13726,0.095734,0.21521,-0.010921,-0.07329,-0.0529,-0.10261,-0.058853,-0.036432,-0.054196,-0.045025,0.096466,-0.077602,-0.020216
